"id","session","trial","licks","lick_time","iri","bout_events","bout_rate","photometry.1","photometry.2","photometry.3","photometry.4","photometry.5","photometry.6","photometry.7","photometry.8","photometry.9","photometry.10","photometry.11","photometry.12","photometry.13","photometry.14","photometry.15","photometry.16","photometry.17","photometry.18","photometry.19","photometry.20","photometry.21","photometry.22","photometry.23","photometry.24","photometry.25","photometry.26","photometry.27","photometry.28","photometry.29","photometry.30","photometry.31","photometry.32","photometry.33","photometry.34","photometry.35","photometry.36","photometry.37","photometry.38","photometry.39","photometry.40","photometry.41","photometry.42","photometry.43","photometry.44","photometry.45","photometry.46","photometry.47","photometry.48","photometry.49","photometry.50","photometry.51","photometry.52","photometry.53","photometry.54","photometry.55","photometry.56","photometry.57","photometry.58","photometry.59","photometry.60","photometry.61","photometry.62","photometry.63","photometry.64","photometry.65","photometry.66","photometry.67","photometry.68","photometry.69","photometry.70","photometry.71","photometry.72","photometry.73","photometry.74","photometry.75","photometry.76","photometry.77","photometry.78","photometry.79","photometry.80","photometry.81","photometry.82","photometry.83","photometry.84","photometry.85","photometry.86","photometry.87","photometry.88","photometry.89","photometry.90","photometry.91","photometry.92","photometry.93","photometry.94","photometry.95","photometry.96","photometry.97","photometry.98","photometry.99","photometry.100","photometry.101","photometry.102","photometry.103","photometry.104","photometry.105","photometry.106","photometry.107","photometry.108","photometry.109","photometry.110","photometry.111","photometry.112"
"HJ-FP-M2",1,2,9,1.262,34.976,23,2.28242532499752,-0.6359782938,-0.6588011,-0.4481683197,-0.4555162,-0.5889452963,-0.8645321187,-1.116238,-1.44281,-1.7711783292,-1.7668693332,-1.616533,-1.4481814004,-1.0269149499,-0.3600033722,0.3028074091,1.0884345913,1.8189763567,2.2909565216,2.791923,3.1441689811,3.1877811276,3.0249934783,2.675344815,2.0402263303,1.284908336,0.5272082667,-0.1212237489,-0.5664981,-0.9617816671,-1.2754197159,-1.5634444155,-1.8136369162,-1.988744,-2.1916914171,-2.289023,-2.461215,-2.4465116417,-2.55108,-2.6201851233,-2.7305792681,-2.912583603,-3.181409,-3.2478603868,-3.2053990827,-3.1410498208,-2.9903384977,-2.736220379,-2.566607,-2.531352549,-2.4808978215,-2.0050290115,-0.921440628,0.333251323,1.458058073,2.3281542486,2.7624700738,2.435652376,2.020708798,1.9426739055,2.0478371243,2.215726188,2.487869,2.7962484512,3.0705560954,3.223463,3.431968,3.6066608772,3.823037,3.8106359099,3.7637383966,3.7696814336,3.8353262187,3.6074351984,3.272655,2.838574268,2.391811994,1.9370497109,1.6496960707,1.526348,1.4927027606,1.23455978,0.9463583906,0.3943412141,-0.2153894342,-0.6402004376,-1.0337844225,-1.586157,-1.8973319464,-1.641993,-1.4286699254,-1.0269793181,-0.2104123512,0.5451410426,0.8756058,1.369115,1.995269722,2.274422715,2.589649,3.038824,3.179562777,3.2173529266,3.23911,3.1651686351,2.8397641887,2.481487,1.862475796,1.2233746142,0.9460161,0.974210024,0.9123164183,0.9325039936,0.964631045
"HJ-FP-M2",1,3,11,1.319,14.348,16,4.44074382459063,-1.7857989217,-1.420795,-1.0361001504,-0.3897206,0.0920793476,0.4278666874,0.7188085,1.063501,1.3177048035,1.5635956869,1.965556,2.4312750671,2.7688796147,2.921337472,3.0403274296,2.9797458165,2.7601824769,2.4040413022,1.803576,1.0624045109,0.3919740825,-0.3646167347,-0.921119699,-1.1586214779,-1.1731915374,-1.2698375721,-1.3078692228,-1.462562,-1.8635447253,-2.2739607464,-2.453292905,-2.2636507155,-1.705392,-1.0900974908,-0.4150344,-0.02672445,0.2770739077,0.2292002,0.2541230685,-0.0503322896,-0.2438853597,-0.7621134,-1.3200215623,-1.8540045641,-2.2151133374,-2.5272098101,-2.74994922,-2.947493,-3.101323727,-3.0290883421,-2.9700768106,-2.938728089,-2.797297739,-2.665879965,-2.4309688257,-1.9737777721,-1.184300333,-0.350274609,0.4087769978,0.8765256004,1.0855851962,1.072008,0.8216313646,0.6175510554,0.5136716,0.5233582,0.3852915928,0.2170227,0.1103742888,0.0061921213,-0.2972888219,-0.2664889387,-0.1093954082,-0.2230137,-0.4223960919,-0.4487284222,-0.5291371239,-0.6087996837,-0.4961731,-0.2409328765,-0.149160608,-0.2181421816,-0.3724822047,-0.5523337395,-0.6553544603,-0.5392834282,-0.3998241,-0.3023367379,-0.3402184,-0.6467646288,-0.9159518005,-0.9986300366,-0.9837627895,-0.7433948,-0.2704403,0.1636899045,0.691624194,1.259799,1.913559,2.4325049941,2.915938261,3.249921,3.8596236674,4.368741755,4.797562,4.994931336,5.1459175393,5.178657,5.3495800752,5.4402922823,5.5806764582,5.351714477
"HJ-FP-M2",1,4,1,2.988,6.1,19,4.86929779600205,3.5680985665,3.495519,3.4246009371,3.27217,2.9461329896,2.580602445,2.39257,2.035119,1.9768564119,2.0279356766,2.017503,1.9099488655,1.9058319601,1.8105750943,1.4805521881,1.11052488,0.6392762225,0.1299163615,-0.3055942,-0.4972283026,-0.7226735953,-0.8618681442,-0.9319880844,-1.1242398027,-1.454579435,-1.6706163555,-2.0270385625,-2.345118,-2.6445251341,-2.7834113924,-2.6705338064,-2.5456819152,-2.515849,-2.4521186679,-2.476617,-2.762742,-3.0886186827,-3.206431,-3.4261427718,-3.5843031834,-3.6094605518,-3.520212,-3.6789287974,-3.6313253147,-3.6686723974,-3.6795549524,-3.751285954,-3.576514,-3.463760858,-3.1969852897,-2.9546415754,-2.6818592,-2.561959452,-2.415738287,-2.2164218794,-1.887713393,-1.438396009,-0.75399869,-0.1063597038,0.2791363268,0.6762382266,1.090844,1.3974636446,1.4777766368,1.465493,1.27383,1.0108110994,0.7109534,0.5623076015,0.784390856,0.8965861585,0.9512900813,0.711093571,0.576771,0.2541285742,0.0120634174,0.0021759484,0.2963000816,0.3672561,0.3541043006,0.484972338,0.6087903318,0.6537308857,0.7149124136,0.730727013,0.690698091,0.4358068,0.2602850919,0.4916786,0.9248513015,1.3228304039,1.6769319939,1.6752442737,1.456229,0.932932,0.3121316963,-0.289927287,-0.7461904,-1.275648,-1.5299844097,-1.7866291162,-1.664021,-1.0890760144,-0.271635901,0.6255545,1.6629288567,2.3380802442,2.790903,3.2494267955,3.6673112577,4.2861849929,5.091870028
"HJ-FP-M2",1,5,13,0.274,10.845,13,7.4243289548829,-0.3176643316,-0.7789493,-1.0534067878,-1.318414,-1.3909875168,-1.3877048547,-1.26791,-1.216829,-1.0244312254,-0.8035882533,-0.4957038,-0.2363848401,-0.1391882016,-0.0594265649,0.002840973,0.211801522,0.4961621893,0.8524988535,1.162688,1.5409370585,1.7661022528,1.7411920394,1.6127132189,1.4515128594,0.9740536319,0.4528804252,-0.1014708977,-0.650751,-1.186097366,-1.6572815847,-2.0971673452,-2.5158685266,-2.739165,-2.9795712173,-3.112777,-3.395135,-3.5224967725,-3.73924,-3.9557488247,-4.1469140638,-4.0450480997,-3.921235,-3.7358391299,-3.4104800868,-3.0040816231,-2.7728627898,-2.439493772,-2.073887,-1.768320607,-1.3806667746,-0.7836767463,-0.266713482,-0.054316396,-0.050099829,-0.3178620335,-0.7772343696,-1.362820561,-1.749089464,-1.6525376827,-1.1464278094,-0.4907543551,0.1712112,0.7560889942,0.8610142499,0.5442547,0.1190392,-0.2942148978,-0.4462051,-0.3500867456,-0.1417611913,-0.2082201467,-0.3972478174,-0.8237509936,-1.329008,-1.6332043883,-1.4950127085,-1.2123499129,-0.7775789995,-0.4341837,-0.1343184809,0.16642871,0.3612471843,0.3660895863,0.2617465883,-0.0097361485,-0.5972565753,-1.093559,-1.5873256507,-1.945332,-2.3572989868,-2.6155196061,-2.7667810164,-2.6771276206,-2.664061,-2.518519,-2.3172964242,-2.161952127,-2.07249,-1.906679,-1.6996164105,-1.5699461995,-1.204326,-0.6366809173,0.3223900407,1.460641,2.598134957,3.3570545779,3.82541,3.9581251781,3.9914271469,4.0388032516,4.146039755
"HJ-FP-M2",1,6,14,1.012,5.341,21,3.72538584353379,3.1887073001,3.672961,4.0560485432,4.19447,4.2915559767,4.1307707858,4.07268,3.857741,3.7032637833,3.3964318605,3.067907,2.6256550013,2.2196820398,1.8087527522,1.3189937259,0.6847671121,0.2121509466,-0.2386656072,-0.699781,-1.1057452675,-1.4724084602,-1.8520874913,-2.0977595732,-2.4591378545,-2.7915116044,-2.8531714378,-2.7345565736,-2.47791,-1.9715195791,-1.3394326122,-1.0300315705,-0.828601773,-0.638917,-0.6006517381,-0.5899615,-0.3548916,-0.1803080001,-0.1741722,-0.0957559754,0.1229268429,0.3838504571,0.542592,0.6268639182,0.658173614,0.3493600542,-0.1867281105,-0.687912557,-1.171131,-1.78630052,-2.3065780113,-2.6346738268,-2.948534157,-3.157660215,-3.258685887,-3.1230115429,-2.8025208004,-2.541591278,-2.364455024,-2.0030841498,-1.7847155318,-1.9255449656,-1.961081,-1.7854414705,-1.5438035512,-1.195835,-0.7313503,-0.2159074785,0.02888945,0.0090647705,-0.177284515,-0.194948039,-0.1811293707,-0.1342236891,-0.09337363,-0.0543452279,-0.3455042867,-0.7585034163,-1.2363487392,-1.691316,-2.165824202,-2.215807048,-2.0966209881,-1.8301925411,-1.410001463,-0.6459033982,0.1228275628,0.7784956,1.3878158741,1.738229,1.7343852167,1.4187120651,0.9218995709,0.3719892541,-0.161843,-0.6455473,-1.0693481396,-1.277960448,-1.425429,-1.286434,-1.1453784204,-0.9038005305,-0.516419,0.0382601916,0.686430448,1.321843,2.1220133639,2.710742874,3.198691,3.2326531371,3.3067238003,3.2501006848,3.382397943
"HJ-FP-M2",1,12,11,1.461,6.213,38,2.75942197371287,1.3748255364,1.381703,1.5069673314,1.539927,1.6633831267,2.2545969884,2.928764,3.352941,3.8712020497,4.0398556054,3.70178,2.9902042069,2.3257387683,1.6554105846,1.0801415825,0.6231630555,0.4981966661,0.4193041148,0.5794749,0.8968301152,1.3294610275,1.5398493559,1.771105384,1.9709650838,2.2384741787,2.6423409122,3.1852527158,3.690135,4.0091291308,4.1158187203,4.1145567862,4.086516427,4.190232,4.2276623274,4.261224,4.090046,4.0129885756,3.718687,3.4875377393,3.2908410614,3.0049678439,2.702704,2.5498674081,2.3664196065,1.894706404,1.6288845887,1.192275464,0.8377222,0.518624553,0.3455516317,0.1330049798,-0.153376635,-0.587161292,-1.086659704,-1.4586599903,-1.7536019945,-1.906602547,-2.037404914,-2.0486470518,-2.102959359,-2.201541622,-2.142981,-2.1163594951,-2.1561430197,-1.991183,-1.85929,-1.9196566212,-2.117918,-2.3851048463,-2.6523067361,-2.9482522953,-3.1652497003,-3.1744230887,-2.971105,-2.658348012,-2.3250232254,-1.9266825101,-1.4268481396,-0.8674006,-0.4279922433,0.058724473,0.3908712327,0.402176025,0.4306778336,0.4193451157,0.5840906736,1.025132,1.8323195427,2.641444,3.5125547362,4.3205294701,4.9926409487,5.4590626615,5.862207,5.806748,5.4250336397,4.793648931,3.968343,2.954863,1.9819897005,1.17099008,0.4433873,0.0287552132,-0.3411092924,-0.541872,-0.8037416974,-0.9463774456,-1.300532,-1.6240902795,-2.0590203269,-2.3955074417,-2.540547991
"HJ-FP-M2",1,15,11,0.424,3.216,37,2.22422602945597,-0.2213542757,-0.1621509,-0.4369149847,-0.6710674,-1.0092782865,-1.4194941522,-1.676353,-1.753715,-1.8247149381,-1.887108446,-2.084755,-2.4369885676,-2.4904499484,-2.3334510629,-1.9686672627,-1.2727937386,-0.3647811013,0.6559009864,1.667171,2.5756906236,3.3013373297,3.6277523366,3.6295594546,3.2259663211,2.7267144735,2.1328734974,1.7919428838,1.359815,1.243920327,1.2020506442,1.267319094,1.5351001847,1.917592,2.150380793,2.169089,2.033493,1.7604918949,1.468445,1.368706178,1.79806146,2.4995737519,3.183133,4.1031734217,4.9793351723,5.4386932983,5.7003131793,5.693002298,5.178511,4.516684066,3.6226923041,2.6032616436,1.761796863,1.19065362,0.608937681,0.265340717,0.0350900843,-0.187937324,-0.523435271,-0.8203542179,-1.3034004442,-1.7525673729,-2.150084,-2.3200381225,-2.4747428343,-2.47359,-2.500099,-2.6717114478,-2.877929,-2.9380211328,-2.8855484126,-2.8185640925,-2.415781381,-1.9619583274,-1.635422,-1.3281210264,-0.8134088623,-0.5662613874,-0.5804502647,-0.5931269,-0.5353998687,-0.498138,-0.238350354,0.1165915962,0.3253733349,0.2767438437,0.1608578046,0.09564194,0.0958575729,0.4068905,0.9396918396,1.2015930633,1.0406785267,0.7782182467,0.2463948,-0.2896033,-0.6318677975,-0.814061285,-0.8914502,-0.8647014,-1.0447724545,-1.4264056784,-1.687651,-1.7854389467,-1.7379799096,-1.657969,-1.3533967516,-1.1996938547,-1.344457,-1.6847387557,-1.8827173588,-1.9759597487,-1.512482582
"HJ-FP-M2",1,16,14,0.265,17.06,27,3.52388410336728,-0.2929263688,-0.6198615,-0.8463912895,-1.030739,-1.0941426687,-1.1145153015,-1.479946,-1.887751,-2.3507655584,-2.8139153867,-3.15629,-3.4582902857,-3.5678292674,-3.4853581211,-3.5808862976,-3.6918624523,-3.7213934982,-3.8475652743,-4.187594,-4.3237082485,-4.3989103547,-4.2279430469,-3.8733551414,-3.3461781492,-2.5054737245,-1.4492023146,-0.4452027362,0.4705447,1.1580719491,1.2425254937,0.9025604812,0.418419998,-0.3970283,-1.0815150616,-1.532046,-1.990461,-2.4551947226,-2.721821,-2.9349529211,-2.9555575401,-2.8829715291,-2.601614,-2.2243728765,-1.9008784104,-1.9448410341,-1.945365745,-2.064708213,-2.034219,-1.931634698,-1.400299505,-0.4414071758,0.665712327,1.435318045,1.890487158,1.9228681174,1.2305382373,0.41201272,-0.249033474,-0.6520171949,-0.8096063853,-0.7379615634,-0.7258842,-0.723560655,-0.6717082393,-0.7781585,-0.9426527,-1.2302213277,-1.535351,-1.9652239199,-2.2492576129,-2.3168795302,-2.3847187002,-2.5809852467,-2.617099,-2.2056629449,-1.754884812,-1.2276651994,-0.6825144128,-0.3359833,-0.4079960651,-0.495300791,-0.6308601651,-0.3895707523,0.1756360863,0.7575299546,1.2346453711,1.843997,2.1634037609,1.99878,1.7855781479,1.3200616659,0.7293183576,0.0993855201,-0.406425,-1.086696,-1.5780869396,-1.84919475,-1.920214,-1.525168,-0.7482891054,0.354184888,1.339275,2.2325244267,2.7313776851,2.969988,2.6751637281,2.1987855731,1.633176,1.0635570352,0.5963182646,0.2648104004,0.0339537
"HJ-FP-M2",1,17,12,0.042,8.056,54,2.9146650833918,1.3577023666,1.153996,1.3140734056,1.358609,1.6273680892,2.013965428,2.335867,2.392293,2.6164232408,2.5446047986,2.32991,2.0919490078,1.8088601912,1.5445568968,1.3709248705,1.2182496493,1.0468456341,0.9857503392,1.025115,1.2924438991,1.5134865376,1.87350053,2.0606665578,2.3444561024,2.7111058868,3.0741375888,3.3709122828,3.650655,3.6673586189,3.6770062554,4.0189269462,4.6846844215,5.239667,5.6714236231,5.720663,5.199986,4.2126214284,3.224213,2.3215085355,1.4488737038,0.6484408209,0.06241126,-0.4600976032,-1.0030199809,-1.2899331443,-1.5127258309,-1.913823688,-2.19673,-2.454306108,-2.5991981553,-2.353493784,-1.746066897,-0.93237109,-0.235450032,0.1287172047,0.2988947846,0.134664939,-0.423749343,-0.8801783816,-1.2305762405,-1.6544968207,-1.8677,-1.7851566151,-1.7083950797,-1.646774,-1.566697,-1.4253205394,-1.395853,-1.4321180152,-1.3395017341,-1.1232781236,-1.0794674136,-0.9845483984,-0.4871145,-0.2256806776,-0.1659233498,-0.0519099712,0.125066795,0.2662037,0.5909692402,1.125926995,1.7141764253,2.2328208368,2.4677793391,2.5464336805,2.4417610929,2.113149,1.5232918584,0.8885914,0.2208957001,-0.4540865067,-1.0165806037,-1.5837817663,-2.129696,-2.397797,-2.5859255089,-2.81876305,-2.958048,-3.024801,-3.0583446773,-3.1668361729,-3.259469,-3.3514629985,-3.3938389367,-3.35454,-3.1462906729,-3.0050671813,-2.792891,-2.5285072943,-2.3084677312,-2.0587416929,-1.388958051
"HJ-FP-M2",1,18,17,0.423,19.546,61,2.87383397719778,0.8931124908,1.072307,0.9379355484,0.5404506,-0.008436765,-0.7804534866,-1.428223,-1.921493,-2.4537127248,-2.9192846677,-3.199623,-3.4437112972,-3.7144966912,-3.5788443311,-3.2000963778,-2.6705141582,-2.3532417434,-1.8803422509,-1.68796,-1.7000670874,-1.850410809,-1.799954037,-1.6718434596,-1.2608788741,-0.7721956044,-0.229809808,0.2947392153,0.8311727,1.3385516765,1.9159917886,2.6176733851,3.4237818585,4.123426,4.6277574644,4.975691,4.950129,4.615812932,4.034482,3.4642895798,2.8211422245,2.1700532509,1.625478,1.0763942933,0.3030694429,-0.3513637915,-0.8022471341,-1.283028984,-1.653699,-1.906484693,-2.2938280126,-2.5455273641,-2.616899424,-2.400037531,-1.887856401,-1.2347545622,-0.4377911711,0.447413867,1.185901627,1.7134326473,2.3531769289,2.9196994625,3.097216,3.058011712,2.9984305908,2.705962,2.196188,2.081736772,2.240777,2.3790998233,2.6282356094,2.6924215851,2.4855461044,1.9500139959,1.228944,0.5524590135,-0.0405825098,-0.5358106152,-0.6971884972,-0.6891334,-0.871275921,-0.930238762,-0.9191443575,-1.2140843355,-1.6457695487,-2.0795851044,-2.423253024,-2.700793,-2.7933091401,-2.66316,-2.4803938971,-2.3906512655,-2.3395168834,-2.379633559,-2.361252,-2.133348,-1.6712942591,-1.087929354,-0.4147672,0.09622506,0.248432971,0.2175993733,-0.0917597,-0.5629453377,-0.8685719664,-0.6852556,-0.1940997373,0.3331805144,0.7170596,0.8456005145,0.5180067574,-0.1655245303,-0.753831853
